ID,AGE,USE,AD,ED,ACCESS_TIME,EGRESS_TIME,ALT1,ALT2,ALT3,BICYCLES,MOTOR,WB,GENDER,UNO,SERO,DM1,DM2,DM3,DM4,DM5,EDM1,EDM2,EDM3,EDM4,EDM5
476,30.0,4,0.3,0.75,5,5,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
477,22.0,4,5.0,0.75,90,10,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0
478,22.0,4,0.75,0.75,7,7,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0
479,22.0,4,0.3,0.3,10,3,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
480,30.0,2,0.3,0.3,10,4,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0
481,22.0,4,5.0,1.25,20,20,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
482,22.0,4,0.75,0.3,10,5,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
483,22.0,2,5.0,1.75,20,5,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
484,22.0,4,0.75,1.25,10,15,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0
485,22.0,2,1.25,1.25,15,15,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0
486,30.0,4,0.3,1.75,4,7,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0
487,30.0,4,0.3,0.75,5,10,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0
488,40.0,4,0.75,3.25,7,10,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0
489,30.0,4,3.25,0.75,25,10,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
490,30.0,4,4.25,4.25,5,10,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1
491,22.0,4,0.3,0.3,5,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
492,40.0,1,0.75,0.3,5,2,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
