ID,USE,ACCESS_TIME,AD,ED,EGRESS_TIME,ALT1,ALT2,ALT3,ALT4,WB,AGE,GENDER,UNO,SERO,VEHICLE,DM1,DM2,DM3,DM4,DM5,EDM1,EDM2,EDM3,EDM4,EDM5
101,2,1.7999999999999998,0.36,1.0799999999999998,5.399999999999999,0,1,0,0,0,22.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
102,3,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,1,0,1,22.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
103,4,0.7199999999999999,0.144,0.36,1.7999999999999998,0,0,0,1,0,30.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
104,4,0.7199999999999999,0.144,0.36,1.7999999999999998,0,0,0,1,0,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
105,1,5.0,1.0,0.21599999999999997,1.0799999999999998,1,0,0,0,1,40.0,1,1,0,0,0,0,1,0,0,1,0,0,0,0
106,4,13.35,2.67,0.144,0.7199999999999999,0,0,0,1,0,30.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
107,3,1.7999999999999998,0.36,1.0799999999999998,5.399999999999999,0,0,1,0,1,30.0,1,1,0,1,1,0,0,0,0,0,0,1,0,0
108,4,1.7999999999999998,0.36,0.144,0.7199999999999999,0,0,0,1,0,22.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
109,3,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,0,1,30.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
110,4,2.8799999999999994,0.576,0.36,1.7999999999999998,0,0,0,1,1,22.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
111,4,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,0,1,0,65.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
112,3,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,0,1,22.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
113,3,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,0,0,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
114,1,1.0799999999999998,0.21599999999999997,0.36,1.7999999999999998,1,0,0,0,0,22.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
115,4,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,0,1,0,22.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
116,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,0,1,1,22.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
117,4,2.52,0.504,1.0799999999999998,5.399999999999999,0,0,0,1,1,22.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
118,3,1.7999999999999998,0.36,0.576,2.8799999999999994,0,0,1,0,0,22.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
119,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,0,22.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
120,3,2.8799999999999994,0.576,0.576,2.8799999999999994,0,0,1,0,1,30.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
121,3,7.199999999999999,1.44,1.0799999999999998,5.399999999999999,0,0,1,0,1,30.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
122,4,0.7199999999999999,0.144,0.144,0.7199999999999999,0,0,0,1,0,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
123,4,3.5999999999999996,0.72,0.144,0.7199999999999999,0,0,0,1,0,22.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
124,3,0.7199999999999999,0.144,0.576,2.8799999999999994,0,0,1,0,1,30.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
125,3,5.399999999999999,1.0799999999999998,1.0799999999999998,5.399999999999999,0,0,1,0,1,30.0,1,1,0,1,0,0,1,0,0,0,0,1,0,0
126,3,7.199999999999999,1.44,1.44,7.199999999999999,0,0,1,0,1,30.0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
127,4,2.8799999999999994,0.576,1.44,7.199999999999999,0,0,0,1,1,40.0,1,1,0,1,0,1,0,0,0,0,0,1,0,0
128,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,0,22.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
129,4,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,0,1,1,40.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
130,3,3.5999999999999996,0.72,0.504,2.52,0,0,1,0,1,22.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
