,AGE,USE,ACCESS_TIME,ACCESS_DISTANCE,EGRESS_DISTANCE,EGRESS_TIME,ALT1,ALT2,ALT3,WB,CYCLE,GENDER,UNO,SERO,VEHICLE,RENT,ACCESS,EGRESS
267,22.0,4,3.5999999999999996,0.75,0.75,3.5999999999999996,0,0,1,0,0,1,1,0,1,5,0,1
274,22.0,4,15.0,2.75,0.5,0.7199999999999999,0,0,1,0,0,1,1,0,1,5,0,1
275,30.0,4,1.7999999999999998,0.5,0.5,2.8799999999999994,0,0,1,0,0,0,1,0,0,5,0,1
277,40.0,4,3.5999999999999996,1.25,0.5,3.5999999999999996,0,0,1,0,0,1,1,0,1,5,1,1
281,30.0,1,3.5999999999999996,0.75,2.75,66.69999999999999,1,0,0,0,0,0,1,0,1,5,0,1
282,30.0,4,1.7999999999999998,0.75,0.5,1.7999999999999998,0,0,1,1,0,1,1,0,1,5,0,1
288,22.0,4,15.0,5.0,1.75,26.7,0,0,1,0,0,0,1,0,1,5,0,1
289,22.0,4,5.0,0.75,0.5,1.7999999999999998,0,0,1,1,0,1,1,0,1,5,0,1
291,22.0,1,5.399999999999999,0.75,0.75,3.5999999999999996,1,0,0,1,0,0,1,0,1,5,0,1
293,30.0,4,5.399999999999999,0.75,0.75,3.5999999999999996,0,0,1,1,0,1,1,0,0,5,0,1
294,40.0,4,5.399999999999999,1.25,0.5,1.7999999999999998,0,0,1,1,0,1,1,0,1,5,0,1
296,22.0,4,10.0,2.25,1.25,3.5999999999999996,0,0,1,0,0,1,1,0,1,5,0,1
297,22.0,4,1.7999999999999998,0.5,0.5,1.7999999999999998,0,0,1,0,0,1,1,0,1,5,0,1
299,30.0,4,1.0799999999999998,0.5,0.5,1.7999999999999998,0,0,1,1,0,1,1,0,0,5,0,1
300,22.0,4,7.199999999999999,1.25,5.0,78.39999999999999,0,0,1,1,0,1,1,0,1,5,0,1
310,30.0,4,50.025,2.25,0.5,1.4399999999999997,0,0,1,0,0,0,1,0,1,5,0,1
313,30.0,4,40.05,3.25,0.5,1.7999999999999998,0,0,1,0,0,0,1,0,1,5,0,1
319,54.0,4,40.05,3.25,1.25,5.399999999999999,0,0,1,0,0,0,1,0,1,5,0,1
327,30.0,4,20.0,5.0,4.25,26.7,0,0,1,0,0,0,1,0,1,5,0,1
328,30.0,4,3.5999999999999996,0.5,0.5,1.7999999999999998,0,0,1,1,0,0,1,0,1,5,0,1
334,22.0,4,0.35999999999999993,1.75,0.75,3.5999999999999996,0,0,1,1,0,1,1,0,0,5,0,1
336,30.0,4,53.4,5.0,0.75,2.8799999999999994,0,0,1,0,0,1,1,0,0,5,1,1
342,22.0,4,5.399999999999999,0.75,0.75,2.52,0,0,1,0,0,0,1,0,1,5,0,1
344,22.0,4,5.0,1.75,0.5,1.7999999999999998,0,0,1,0,0,0,1,0,1,5,0,1
345,40.0,1,53.4,5.0,4.75,40.05,1,0,0,1,0,1,1,0,1,5,0,1
348,22.0,4,50.025,3.25,0.5,1.7999999999999998,0,0,1,1,0,0,1,0,0,5,0,1
353,22.0,4,3.5999999999999996,0.75,0.5,2.52,0,0,1,0,1,0,1,0,1,5,0,1
354,22.0,2,3.5999999999999996,0.75,0.75,4.319999999999999,0,1,0,0,0,0,1,0,0,5,0,1
