ID,USE,ACCESS_TIME,ACCESS_DISTANCE,EGRESS_DISTANCE,EGRESS_TIME,ALT1,ALT2,ALT3,WB,AGE,GENDER,UNO,SERO,VEHICLE,RENT,ACCESS,EGRESS,CYCLE
239,2,2.8799999999999994,0.576,0.144,0.7199999999999999,0,1,0,1,30.0,1,1,0,1,5,1,0,0
242,4,1.7999999999999998,0.36,2.67,13.35,0,0,1,1,30.0,1,1,0,1,5,1,0,1
243,4,0.7199999999999999,0.144,0.72,3.5999999999999996,0,0,1,1,30.0,1,1,0,1,5,1,0,0
245,4,1.0799999999999998,0.21599999999999997,0.72,3.5999999999999996,0,0,1,0,30.0,1,1,0,0,5,1,0,0
252,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,1,40.0,1,1,0,1,5,1,0,0
262,1,5.399999999999999,1.0799999999999998,0.576,2.8799999999999994,1,0,0,0,22.0,0,1,0,0,5,1,0,0
268,1,3.5999999999999996,0.72,0.72,3.5999999999999996,1,0,0,0,22.0,1,1,0,1,5,1,0,1
270,4,2.1599999999999997,0.43199999999999994,0.36,1.7999999999999998,0,0,1,1,30.0,1,1,0,1,5,1,0,0
276,4,3.5999999999999996,0.72,1.0799999999999998,5.399999999999999,0,0,1,1,40.0,1,1,0,1,5,1,0,1
277,4,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,0,40.0,1,1,0,1,5,1,1,0
285,4,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,1,0,22.0,0,1,0,0,5,1,0,0
287,4,1.7999999999999998,0.36,0.21599999999999997,1.0799999999999998,0,0,1,0,22.0,1,1,0,1,5,1,0,0
292,1,3.5999999999999996,0.72,1.0799999999999998,5.399999999999999,1,0,0,0,22.0,1,1,0,0,5,1,0,0
295,4,3.5999999999999996,0.72,0.21599999999999997,1.0799999999999998,0,0,1,0,22.0,1,1,0,0,5,1,0,0
302,2,3.5999999999999996,0.72,0.9359999999999999,4.68,0,1,0,1,22.0,0,1,0,0,5,1,0,0
305,2,1.7999999999999998,0.36,1.0799999999999998,5.399999999999999,0,1,0,0,22.0,0,1,0,1,5,1,0,0
306,4,2.52,0.504,2.136,10.68,0,0,1,1,30.0,0,1,0,1,5,1,0,0
307,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,0,22.0,0,1,0,1,5,1,0,1
311,4,1.7999999999999998,0.36,0.504,2.52,0,0,1,1,30.0,0,1,0,1,5,1,0,0
314,4,0.7199999999999999,0.144,0.72,3.5999999999999996,0,0,1,0,22.0,0,1,0,0,5,1,0,0
316,4,1.7999999999999998,0.36,1.0799999999999998,5.399999999999999,0,0,1,1,30.0,0,1,0,0,5,1,0,0
324,4,1.7999999999999998,0.36,0.576,2.8799999999999994,0,0,1,1,22.0,0,1,0,1,5,1,0,0
325,4,3.5999999999999996,0.72,0.576,2.8799999999999994,0,0,1,0,54.0,0,1,0,0,5,1,0,0
326,2,2.8799999999999994,0.576,0.36,1.7999999999999998,0,1,0,0,22.0,0,1,0,1,5,1,0,1
333,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,1,0,22.0,0,1,0,0,5,1,0,0
343,4,2.52,0.504,0.504,2.52,0,0,1,0,30.0,0,1,0,0,5,1,0,0
347,4,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,1,30.0,1,1,0,1,5,1,0,0
351,1,1.7999999999999998,0.36,0.21599999999999997,1.0799999999999998,1,0,0,0,22.0,0,1,0,0,5,1,0,0
357,2,1.7999999999999998,0.36,0.144,0.7199999999999999,0,1,0,0,30.0,0,1,0,1,5,1,0,1
359,4,1.7999999999999998,0.36,1.0799999999999998,5.399999999999999,0,0,1,1,30.0,1,1,0,1,5,1,0,0
362,4,0.7199999999999999,0.144,0.144,0.7199999999999999,0,0,1,1,22.0,0,1,0,1,5,1,0,0
364,2,3.5999999999999996,0.72,0.43199999999999994,2.1599999999999997,0,1,0,0,22.0,0,1,0,1,5,1,0,0
369,2,2.1599999999999997,0.43199999999999994,0.144,0.7199999999999999,0,1,0,0,22.0,0,1,0,1,5,1,0,1
370,1,1.7999999999999998,0.36,0.72,3.5999999999999996,1,0,0,0,22.0,1,1,0,0,5,1,0,0
372,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,0,22.0,0,1,0,0,5,1,0,0
373,2,7.199999999999999,1.44,0.36,1.7999999999999998,0,1,0,0,22.0,1,1,0,1,5,1,0,1
375,1,2.52,0.504,1.0799999999999998,5.399999999999999,1,0,0,0,30.0,0,1,0,1,5,1,0,1
376,4,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,0,30.0,1,1,0,1,5,1,0,0
378,4,2.52,0.504,0.43199999999999994,2.1599999999999997,0,0,1,0,22.0,0,1,0,0,5,1,0,0
380,1,2.1599999999999997,0.43199999999999994,0.504,2.52,1,0,0,0,22.0,0,1,0,1,5,1,0,0
383,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,1,1,30.0,1,1,0,1,5,1,0,0
384,4,0.7199999999999999,0.144,0.36,1.7999999999999998,0,0,1,0,22.0,0,1,0,1,5,1,0,0
389,2,1.7999999999999998,0.36,0.36,1.7999999999999998,0,1,0,0,22.0,0,1,0,1,5,1,0,0
398,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,1,0,22.0,0,1,0,0,5,1,0,0
401,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,1,1,22.0,1,1,0,1,5,1,0,0
407,2,3.5999999999999996,0.72,0.504,2.52,0,1,0,1,22.0,0,1,0,1,5,1,0,0
412,4,2.52,0.504,0.504,2.52,0,0,1,0,30.0,0,1,0,1,5,1,0,0
415,2,1.7999999999999998,0.36,1.44,7.199999999999999,0,1,0,0,22.0,1,1,0,0,5,1,0,0
416,2,3.5999999999999996,0.72,0.36,1.7999999999999998,0,1,0,0,22.0,0,1,0,1,5,1,0,1
418,4,5.399999999999999,1.0799999999999998,0.72,3.5999999999999996,0,0,1,0,30.0,0,1,0,1,5,1,0,1
419,2,3.5999999999999996,0.72,0.43199999999999994,2.1599999999999997,0,1,0,0,22.0,0,1,0,1,5,1,0,1
423,4,2.52,0.504,0.504,2.52,0,0,1,1,22.0,0,1,0,1,5,1,0,0
425,2,3.5999999999999996,0.72,0.288,1.4399999999999997,0,1,0,1,30.0,0,1,0,1,5,1,0,0
427,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,1,0,22.0,0,1,0,1,5,1,0,1
429,4,3.5999999999999996,0.72,1.0799999999999998,5.399999999999999,0,0,1,1,22.0,0,1,0,1,5,1,0,0
430,2,5.399999999999999,1.0799999999999998,1.0799999999999998,5.399999999999999,0,1,0,1,22.0,0,1,0,0,5,1,0,0
433,4,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,1,1,30.0,1,1,0,1,5,1,0,0
436,4,19.599999999999998,3.92,5.34,26.7,0,0,1,1,30.0,0,1,0,1,5,1,0,0
440,4,2.52,0.504,0.72,3.5999999999999996,0,0,1,0,30.0,0,1,0,1,5,1,0,0
441,1,2.1599999999999997,0.43199999999999994,0.144,0.7199999999999999,1,0,0,1,30.0,1,1,0,0,5,1,0,0
442,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,1,0,22.0,1,1,0,1,5,1,0,0
444,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,1,1,30.0,1,1,0,1,5,1,0,0
450,4,1.0799999999999998,0.21599999999999997,0.21599999999999997,1.0799999999999998,0,0,1,0,30.0,0,1,0,1,5,1,0,1
451,4,3.5999999999999996,0.72,0.21599999999999997,1.0799999999999998,0,0,1,1,22.0,0,1,0,1,5,1,0,0
