ID,AGE,USE,ACCESS_DISTANCE,EGRESS_DISTANCE,ACCESS_TIME,EGRESS_TIME,ALT1,ALT2,ALT3,ALT4,WB,GENDER,UNO,SERO,VEHICLE,DM1,DM2,DM3,DM4,DM5,DM6,DE1,DE2,DE3,DE4,DE5,DE6
2101,40.0,4,0.75,5.0,10,20,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2102,22.0,2,0.75,1.25,7,10,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2103,30.0,4,0.3,1.25,5,15,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
2104,22.0,3,4.25,1.25,20,10,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
2105,22.0,4,0.3,0.3,5,2,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2106,30.0,1,1.75,0.3,5,5,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2107,30.0,3,0.75,0.3,10,5,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2108,40.0,4,0.75,0.75,10,10,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2109,22.0,4,0.3,0.3,2,5,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
2110,40.0,4,0.75,1.25,7,10,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2111,22.0,3,3.25,2.75,10,15,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2112,30.0,1,0.75,0.3,5,5,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2113,22.0,2,0.3,0.75,2,15,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2114,30.0,4,0.3,1.25,7,7,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2115,40.0,4,0.75,1.25,7,10,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2116,22.0,3,0.3,0.3,3,8,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
