,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M
1016,,Silk institute to Peenya industry ,"Sangaoli rayyana,mg colony, railway quarters ",Work,"Kanakapura,budikere main road ",Home,07:30:00,Bus + Metro ,120,Walk ,10,0.5 to 1 km ,10,Walk ,5,0.5 to 1 km ,,For both access and egress trips ,2,4,Ordinary Monthly Pass ,0,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Bus and Metro ,36-45 yrs ,Trade,Employed,>2 Lakhs,1.0,1,1,0,0,10,-1,2,1,2,3,3,3,3,1,1,1
1017,Kengeri,,Sheshadipuram pavanaja arcade,Work,Brindavan layout kengeri,Home,09:55:00,Metro ,60,Walk ,10,0.5 to 1 km ,7,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,No crowding - Less than 25% of seats occupied ,Male,,,Bus ,26-35 yrs ,Graduate,Employed,"50,001 – 1,00,000",1.0,1,1,1,0,10,-1,2,1,1,2,3,3,3,1,1,1
1018,Vishweshwaraya central college ,,"Maharani science college, vishweshwaraya stn",School,Janabharthi campus,Home,09:45:00,Bus + Metro ,25,Walk ,5,< 0.5 km ,15,Walk ,15,0.5 to 1 km ,,For neither access nor egress trips ,5,3,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Postgraduate,Student,,1.0,1,0,0,0,10,-1,3,1,2,1,1,3,1,0,1,1
1019,,Silk institute to Peenya industry ,"560044,basaveshwara nagar,mahaganapathi temple",Work,"JP nagar,7th phase,Vega City mall",Home,09:30:00,Bus1 + Metro + Bus2 ,75,Walk ,5,< 0.5 km ,10,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,15,1,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus ,Bus and Metro ,18-25yrs ,Graduate,Employed,"50,001 – 1,00,000",0.0,2,0,0,0,10,-1,2,1,4,1,1,3,3,0,1,1
1020,Kengeri,,Si vishwesharaya metro station corporation office,Work,Kengeri ,Home,10:22:00,Metro ,50,Walk ,20,1 km to 1.5 km ,5,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,No crowding - Less than 25% of seats occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,"50,001 – 1,00,000",1.0,1,0,0,0,10,-1,2,1,1,2,4,3,3,1,1,1
1021,,Silk institute to nagasandra ,"Jalahalli, Asian paints office ",Work,"Sony signal, kormangla",Home,09:30:00,Metro ,90,Auto Rickshaw ,30,> 5 km ,1,Walk ,5,< 0.5 km ,,For both access and egress trips ,,,No ,150,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,2,1,1,1,8,1,3,0,5,1
1022,Kengeri,,Rajaji nagar kundan electronics,Work,Bidadi busstand (near),Home,09:30:00,Bus + Metro ,120,Walk ,5,< 0.5 km ,10,Walk ,3,< 0.5 km ,,For both access and egress trips ,2,5,Metro card ,25,No crowding - Less than 25% of seats occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,"50,001 – 1,00,000",1.0,1,0,0,0,10,-1,2,1,2,2,1,1,3,1,1,1
1023,,Silk institute to Nagasandra ,"Hesarghatta, Volkswagen ",Work,"Jayanagar,tilak nagar,new Baldwin school ",Home,09:30:00,Bus + Metro ,60,Walk ,10,0.5 to 1 km ,20,Walk ,20,1.5 km to 2 km ,,For both access and egress trips ,20,5,No ,110,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,12th,Employed,"50,001 – 1,00,000",0.0,3,0,0,0,10,-1,2,1,2,1,3,2,3,1,1,1
1024,Peenya industries ,,Nelmangla bus stop,Other,"Rajajinagar, beside metro station ",Home,10:00:00,Metro ,20,Walk ,5,< 0.5 km ,7,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Postgraduate,Employed,,0.0,0,0,0,0,10,-1,8,1,1,1,1,1,1,0,1,1
1025,Cubbon park,,"Cubbon park,vv tower ",Work,"Kr puram,Ignatius chruch",Home,09:30:00,Bus + Metro ,90,Walk ,10,0.5 to 1 km ,15,Walk ,5,< 0.5 km ,,For both access and egress trips ,15,2,Metro card ,0,Very high crowding - All seats AND most standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,1.0,2,2,0,0,10,-1,2,1,2,1,3,1,3,0,1,1
1026,Kengeri,,Cubbon park vv towers,Work,Ramohalli saligrama sreenivas temple,Home,09:15:00,Metro ,75,Two-Wheeler ,25,> 5 km ,5,Walk ,5,< 0.5 km ,,For egress trip only ,,,Metro card ,0,No crowding - Less than 25% of seats occupied ,Male,,,Metro ,26-35 yrs ,Doctorate,Employed,>2 Lakhs,1.0,2,0,0,0,10,-1,2,1,1,2,8,1,4,1,3,1
1027,Cubbon park,,Indiranagar 2nd stage ,Work,Yelahanka kogilu cross,Home,09:00:00,Bus + Metro ,90,Walk ,5,< 0.5 km ,3,Walk ,10,< 0.5 km ,,For neither access nor egress trips ,10,5,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,Postgraduate,Employed,"10,001 – 25,000",0.0,1,0,0,0,10,-1,2,1,2,1,1,1,1,0,1,1
1028,,Byapnahalli to kengeri ,Mg road,School,"Tin factory, FCI godown",Home,10:00:00,Bus + Metro ,70,Walk ,20,0.5 to 1 km ,5,Walk ,10,< 0.5 km ,,For access trip only ,5,2,Ordinary Monthly Pass ,19,No crowding  - Most ,Male,,,Metro ,18-25 yrs ,Graduate,Student,"<=10,000",2.0,2,1,0,0,10,-1,3,1,2,1,3,1,2,1,1,1
1029,,Kengeri to bayyappanahalli ,"Mg road , sjcc ",School,Anchepalya kengeri,Friend,10:45:00,Metro ,50,Auto Rickshaw ,10,2.5 km to 3 km ,3,Walk ,10,0.5 to 1 km ,,For egress trip only ,,,No ,120,No crowding - Less than 25% of seats occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Student,>2 Lakhs,0.0,0,0,0,0,10,-1,3,7,1,1,7,3,4,1,5,1
1030,,Kengeri to bayappanahalli ,Ramurthynagar ,Home,Konankunte crosa,Home,09:45:00,Bus + Metro ,150,Walk ,5,< 0.5 km ,2,Dropped-off by friends/others ,15,3 km to 3.5 km ,32,For both access and egress trips ,5,5,No ,50,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Not eligible ,Bus + Metro ,Bus and Metro ,18-25yrs ,Graduate,Student,,1.0,1,0,0,0,10,-1,1,1,2,1,1,5,3,0,1,8
1031,Jalahalli ,,"Sandal soap factory, orian mall",Shopping,"KG halli, Rama temple ",Home,11:00:00,Bus + Metro ,20,Walk ,5,< 0.5 km ,5,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,5,8,Metro card ,5,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,18-25 yrs ,12th,Student,,0.0,1,1,0,0,10,-1,4,1,2,1,1,1,1,1,1,1
1032,,Byapnahalli to kengeri ,"Vijay nagar, incom tax layout",Shopping,Cotton pette,Work,11:05:00,Metro ,15,Walk ,5,0.5 to 1 km ,1,Walk ,5,< 0.5 km ,,For neither access nor egress trips ,,,No ,18,No crowding  - 50-75% of seats occupied ,Male,,,Metro ,18-25 yrs ,Postgraduate,Business,"10,001 – 25,000",1.0,2,3,0,0,10,-1,4,2,1,1,3,1,1,1,1,1
1033,Indiranagar,,"Central college,civil court ",Work,"Bhima nagar,lic",Home,10:40:00,Metro ,45,Two-Wheeler ,10,0.5 to 1 km ,10,Walk ,5,< 0.5 km ,,For access trip only ,,,No ,44,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,46-60 yrs ,Graduate,Unemployed,"10,001 – 25,000",0.0,1,0,0,0,10,-1,2,1,1,4,3,1,2,0,3,1
1034,Indiranagar ,,Cubbon park,Other,Indiranagar Vikas mega mart,Home,11:00:00,Metro ,15,Auto Rickshaw ,7,1.5 km to 2 km ,5,Walk ,5,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,70,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Bus and Metro ,18-25 yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,8,1,1,1,2,3,3,0,5,1
1035,,Byapnahalli to kengeri ,"RR nagar, rani chanamma park",Shopping,"Vijay nagar, balc institute ",School,10:30:00,Metro + Bus ,20,Walk ,2,< 0.5 km ,1,Walk ,5,0.5 to 1 km ,,For neither access nor egress trips ,2,10,Metro card ,10,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,18-25 yrs ,12th,Student,,3.0,1,1,0,0,10,-1,4,3,3,1,1,3,1,1,1,1
1036,Jalahalli ,,"Deepanjali nagara, near government school",Home,"Chickbanvara,  near chairmans restro bar",Work,11:00:00,Metro ,50,Two-Wheeler ,10,4.5 km to 5 km ,8,Walk ,5,< 0.5 km ,,For egress trip only ,,,Metro card ,30,No crowding  - 50-75% of seats occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,1,0,0,0,10,-1,1,2,1,2,6,1,4,1,3,1
1037,Indiranagar ,, Indiranagar ,Work,Deepanjali nagar satellite,Home,10:00:00,Metro ,40,Two-Wheeler ,10,1 km to 1.5 km ,2,Walk ,3,< 0.5 km ,,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,2,0,0,0,10,-1,2,1,1,2,4,1,3,0,3,1
1038,Indiranagar,,"Kengeri,kumbalgudu",Home,"Indiranagar,100 ft road, Bob's ",Work,11:15:00,Metro ,60,Walk ,15,1.5 km to 2 km ,8,Rapido/Uber Moto/Ola two-wheeler ,15,2.5 km to 3 km ,8,For both access and egress trips ,,,Metro card ,0,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,1.0,1,1,0,0,10,-1,1,2,1,2,2,7,3,0,1,7
1039,,Nagasandra to silk institute ,"Corporation court, majestic ",Work,"Madavara, Vinayaka clinic ",Home,10:30:00,Bus + Metro ,90,Walk ,10,< 0.5 km ,5,Auto Rickshaw ,10,1.5 km to 2 km ,8,For neither access nor egress trips ,8,7,No ,90,No crowding  - 50-75% of seats occupied ,Female,Yes ,Metro ,Metro ,36-45yrs ,Graduate,Employed,,0.0,1,0,0,0,10,-1,2,1,2,3,1,2,1,0,1,5
1040,Indiranagar ,,Deepanjali nagar ,Shopping,Indiranagar metro station ,Home,11:25:00,Metro ,20,Walk ,5,< 0.5 km ,3,Walk ,10,0.5 to 1 km ,,For both access and egress trips ,,,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Unemployed,,1.0,1,0,0,0,10,-1,4,1,1,2,1,3,3,0,1,1
1041,Indranagar ,,"Banshakari,near temple ",Friend,"Ulsoor,isro colony",Friend,11:00:00,Metro ,40,Auto Rickshaw ,10,2 km to 2.5 km ,8,Auto Rickshaw ,10,1.5 km to 2 km ,8,For both access and egress trips ,,,No ,150,High crowding - All seats AND 50-75% of standing space occupied ,Female,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,2,0,0,0,10,-1,7,7,1,2,11,2,3,0,5,5
1042,,Nagasandra to silk institute ,"HSR layout, 1st cross",Friend,Jalahalli cross bus stop,Other,11:30:00,Metro ,60,Walk ,5,< 0.5 km ,4,Ola/Uber car ,20,> 5 km ,5,For neither access nor egress trips ,,,Metro card ,70,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,,,Metro ,18-25 yrs ,Graduate,Employed,"25,001 – 50,000",0.0,0,0,0,0,10,-1,7,8,1,1,1,8,1,0,1,6
1043,,Kengeri-byappanahalli ,Mantri square maleshwaram,Work,"Whitefield,hoody,nexus mall",Home,11:00:00,Bus1 + Metro + Bus2 ,75,Walk ,2,< 0.5 km ,8,Walk ,2,< 0.5 km ,,For neither access nor egress trips ,2,3,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,26-35yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,2,1,4,2,1,1,1,0,1,1
1044,,C,MG road st Joseph's college ,School,Indiranagar new horizon public school ,Home,11:15:00,Bus + Metro ,45,Walk ,2,< 0.5 km ,10,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,4,7,Metro card ,0,Medium crowding - All seats AND 25-50% of standing space occupied ,Female,Yes ,Bus + Metro ,Bus and Metro ,18-25yrs ,12th,Student,,1.0,2,1,0,0,10,-1,3,1,2,1,1,3,1,0,1,1
