ID,USE_BICYCLE,ACCESS_TIME,EGRESS_TIME,GENDER,Alt1,ALT2,ALT3,ALT4,UNO,SERO,USE,ACCESS_DISTANCE,EGRESS-DISTANCE,EGRESS_DISTANCE,ALT1,WB
1529,4,2.52,3.5999999999999996,0,0,0,0,1,1,0,4,0.75,0.75,0.75,0,1
1530,4,5.399999999999999,2.52,0,0,0,0,1,1,0,4,1.25,0.5,0.5,0,0
1531,4,1.7999999999999998,13.35,0,0,0,0,1,1,0,4,0.5,0.75,0.75,0,1
1532,3,1.7999999999999998,3.5999999999999996,1,0,0,1,0,1,0,3,0.5,3.75,3.75,0,1
1533,1,3.5999999999999996,1.7999999999999998,0,1,0,0,0,1,0,1,0.75,0.5,0.5,1,0
1534,4,5.0,0.7199999999999999,0,0,0,0,1,1,0,4,0.75,0.5,0.5,0,0
1535,4,1.7999999999999998,7.84,1,0,0,0,1,1,0,4,0.5,0.5,0.5,0,1
1536,4,1.7999999999999998,19.599999999999998,1,0,0,0,1,1,0,4,0.5,1.75,1.75,0,1
1537,1,19.599999999999998,3.5999999999999996,0,1,0,0,0,1,0,1,1.75,0.5,0.5,1,1
1538,4,7.199999999999999,39.199999999999996,1,0,0,0,1,1,0,4,1.75,1.75,1.75,0,1
1539,4,26.7,3.5999999999999996,0,0,0,0,1,1,0,4,1.75,0.75,0.75,0,0
1540,1,0.7199999999999999,78.39999999999999,1,1,0,0,0,1,0,1,0.5,5.0,5.0,1,1
1541,1,1.7999999999999998,1.7999999999999998,1,1,0,0,0,1,0,1,0.5,0.5,0.5,1,1
1542,3,3.5999999999999996,5.399999999999999,0,0,0,1,0,1,0,3,0.5,0.75,0.75,0,1
1543,3,5.399999999999999,2.8799999999999994,1,0,0,1,0,1,0,3,1.25,0.75,0.75,0,1
1544,4,7.0,1.7999999999999998,0,0,0,0,1,1,0,4,2.25,0.5,0.5,0,0
1545,4,13.35,21.36,0,0,0,0,1,1,0,4,0.75,0.75,0.75,0,0
1546,4,2.1599999999999997,98.0,0,0,0,0,1,1,0,4,0.5,5.0,5.0,0,1
1547,3,2.8799999999999994,2.8799999999999994,1,0,0,1,0,1,0,3,0.75,0.75,0.75,0,1
1548,2,1.0799999999999998,39.199999999999996,1,0,1,0,0,1,0,2,0.5,2.75,2.75,0,1
1549,3,5.399999999999999,8.999999999999998,1,0,0,1,0,1,0,3,1.25,1.75,1.75,0,0
1550,4,0.7199999999999999,1.7999999999999998,1,0,0,0,1,1,0,4,0.5,0.5,0.5,0,0
1551,2,2.1599999999999997,39.199999999999996,1,0,1,0,0,1,0,2,0.5,2.25,2.25,0,0
1552,4,50.025,34.71,1,0,0,0,1,1,0,4,5.0,2.25,2.25,0,0
1553,3,1.7999999999999998,1.7999999999999998,1,0,0,1,0,1,0,3,0.5,0.5,0.5,0,1
1554,4,5.399999999999999,20.0,1,0,0,0,1,1,0,4,0.5,5.0,5.0,0,1
1555,4,1.7999999999999998,3.5999999999999996,1,0,0,0,1,1,0,4,0.5,0.5,0.5,0,0
1556,3,5.0,1.7999999999999998,1,0,0,1,0,1,0,3,0.5,0.5,0.5,0,0
1557,4,5.399999999999999,1.7999999999999998,1,0,0,0,1,1,0,4,1.25,0.75,0.75,0,1
1558,1,53.4,1.7999999999999998,0,1,0,0,0,1,0,1,3.75,0.5,0.5,1,1
1559,3,1.7999999999999998,2.52,0,0,0,1,0,1,0,3,0.75,0.75,0.75,0,1
1560,4,3.5999999999999996,1.7999999999999998,0,0,0,0,1,1,0,4,0.75,0.5,0.5,0,1
1561,3,3.5999999999999996,5.399999999999999,1,0,0,1,0,1,0,3,1.25,1.25,1.25,0,1
