,Unnamed: 0,M_ORIGIN,M_DESTINATION,D_LANDMARK,D_TYPE,O_LANDMARK,O_TYPE,START_TIME,TRIP_SEQUENCE,TOTAL_TIME,ACCESS_MODE,ACCESS_TIME,ACCESS_DISTANCE,WT_FS,EGRESS_MODE,EGRESS_TIME,EGRESS_DISTANCE,WT_FIS,BICYCLE_USE,TRANSFER_TIME,WAITING_TIME_SECOND_STOP,PASS,TOTAL_COST,CROWDING,GENDER,S_1,S_2,S_3,AGE,EDUCATION,OCCUPATION,INCOME,CARS,TWO_WHEELER,N_BICYCLES,OTHERS,PARKING,PARK_RENT,PARK,DESTINATION,ORIGIN,TRIP,AGE_C,ACCESS_DIS,EGRESS_DIS,RENT_BICYCLE,MALE,ACCESS_M,EGRESS_M,ACCESS_DIS_B,EGRESS_DIS_B
379,379,Jalahalli (green line),Goraguntepalya (green line),"Nandini lay out, 400m guraguntepalya metro station ",Home,REVA university ,School,16:00:00,Metro ,45,Two-Wheeler ,30,> 5 km ,6,Walk ,10,< 0.5 km ,,For egress trip only ,,,Metro card ,0,No crowding  - Most ,Male,,,Metro ,18-25 yrs ,12th,Student,,0.0,1,0,0,0,10,-1,1,3,1,1,11,1,2,1,3,1,5,1
380,380,Jalahalli (green line),Baiyappanahalli (purple line),"Byappanahalli,Beml",Friend,"Peenya,ISRO opposite,Ace designers",Work,16:30:00,Metro + Bus ,90,Dropped-off by friends/others ,10,1.5 km to 2 km ,6,Walk ,5,< 0.5 km ,,For both access and egress trips ,5.0,7.0,Metro card ,60,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus and Metro ,18-25 yrs ,Trade,Employed,"50,001 – 1,00,000",1.0,4,0,0,0,10,-1,7,2,3,1,4,1,3,1,8,1,3,1
381,381,Nagasandra (green line),Peenya (green line),"Peenya , platenum city",Home,Christ college ,School,16:50:00,Metro ,40,Walk ,15,1 km to 1.5 km ,5,Walk ,5,< 0.5 km ,,For access trip only ,,,No ,17,No crowding  - 25-50% of seats occupied ,Male,,,Metro ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,0,10,-1,1,3,1,1,3,1,1,1,1,1,3,1
382,382,Kengeri (purple line),Baiyappanahalli (purple line),Whitefield ,Home,Kumbalagodu,School,16:30:00,Bus1 + Metro + Bus2 ,120,Walk ,2,< 0.5 km ,15,Walk ,20,1.5 km to 2 km ,,For neither access nor egress trips ,5.0,2.0,No ,120,Medium crowding - All seats AND 25-50% of standing space occupied ,Male,,,Bus ,18-25 yrs ,Graduate,Student,,0.0,0,0,0,0,10,-1,1,3,4,1,1,4,4,1,1,1,1,3
383,383,Goraguntepalya (green line),Doddakallasandra (green line),Doddagallasandra near metro station ,Home,"Nagavara, manyata tech park ",Work,16:40:00,Metro ,90,Car pooling ,35,> 5 km ,2,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,,,No ,50,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,,1.0,0,0,0,0,10,-1,1,2,1,2,11,2,4,1,6,1,5,2
384,384,"Dr. B. R. Ambedkar Station, Vidhana Soudha (purple line)",Baiyappanahalli (purple line),Ramurthy nagar,Home,Vidhan soudha,Work,17:00:00,Metro ,40,Walk ,10,0.5 to 1 km ,4,Two-Wheeler ,10,2 km to 2.5 km ,,For egress trip only ,,,Metro card ,25,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,"50,001 – 1,00,000",0.0,1,0,0,0,10,-1,1,2,1,2,2,5,2,1,1,3,2,4
385,385,Sandal Soap Factory (green line),Baiyappanahalli (purple line),"Ramurthinagar, ITI near",Home,RG royal convention hall ,Work,16:45:00,Metro ,90,Walk ,10,1 km to 1.5 km ,5,Two-Wheeler ,15,4.5 km to 5 km ,,For neither access nor egress trips ,,,Metro card ,0,Low crowding - All seats AND up to 25% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,1,0,0,0,10,-1,1,2,1,2,3,10,4,1,1,3,3,5
386,386,Baiyappanahalli (purple line),Srirampura (green line),Srirampura,Friend,Mahadevpura ,Work,16:30:00,Bus + Metro ,40,Office vehicle,0,< 0.5 km ,0,Walk ,10,0.5 to 1 km ,,For neither access nor egress trips ,10.0,10.0,No ,34,No crowding  - 50-75% of seats occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,0,0,0,0,10,-1,7,2,2,2,1,2,4,1,10,1,1,2
387,387,Cubbon Park (purple line),Jalahalli (green line),Abbigere ,Home,Cubbon park,Work,17:30:00,Metro + Bus ,60,Walk ,5,0.5 to 1 km ,7,Walk ,7,0.5 to 1 km ,,For neither access nor egress trips ,5.0,5.0,Metro card ,20,High crowding - All seats AND 50-75% of standing space occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,"50,001 – 1,00,000",1.0,1,1,0,0,10,-1,1,2,3,2,2,2,4,1,1,1,2,2
388,388,Silk Institute (green line),Rajajinagar (green line),"Rajajinagar, kurubarahalli",Home,Near silk institute metro station ,Work,18:10:00,Metro ,70,Walk ,3,< 0.5 km ,5,Two-Wheeler ,10,1.5 km to 2 km ,,For access trip only ,,,Metro card ,0,No crowding - Less than 25% of seats occupied ,Male,,,Metro ,26-35 yrs ,Graduate,Employed,,0.0,1,0,0,0,10,-1,1,2,1,2,1,4,1,1,1,3,1,3
